[[  0,    0,   0,   0,   0, -16, -15, -14, -13, -12,   0,  -4,  -3,  -2,  -1],
 [  0,    0,   0,   0,   0, -17,   0,   0,   0, -11,   0,   0,  -4,   0,   0],
 [  0,    0,   0,   0,   0, -18,   0,   0,   0, -10,   0,   0,  -5,   0,   0],
 [ -38,   0,   0, -21, -20, -19,   0,   0,   0,  -9,  -8,  -7,  -6,  -7,  -8],
 [ -37,   0,   0,   0, -21,   0, -54, -53, -52,   0,   0,   0,   0,   0,  -9],
 [ -36, -35,   0,   0, -22,   0,   0,   0, -51,   0,   0,   0, -12, -11, -10],
 [  0,  -34,   0, -24, -23,  11,   0,   0, -50, -50, -51, -52,   0, -12,   0],
 [  0,  -33,   0,   0, -24,   0,   0, -49, -48, -49,   0, -53, -54,   0, -64],
 [  0,  -32,   0, -26, -25,  11,   0,   0, -47,   0,   0,   0, -55,   0, -63],
 [  0,  -31,   0,   0, -26,   0,   0,   0, -46,   0,   0,   0, -56,   0, -62],
 [-31,  -30, -29, -28, -27,   0,   0,   0, -45,   0, -69,   0, -57,   0, -61],
 [  0,  -31,   0,   0,   0, -41, -42, -43, -44,   0, -68,   0, -58, -59, -60],
 [  0,  -32,   0,   0,   0, -40,   0,   0, -45,   0, -67,   0,   0,   0, -61],
 [  0,  -33,   0, -37,   0, -39,   0,   0, -46,   0, -66, -65, -64, -63, -62],
 [ -35, -34, -35, -36, -37, -38, -40,   0, -47,   0, -67,   0,   0,   0,   0],
 [   0, -35,   0, -37,   0, -39,   0,   0, -48,   0, -68, -69, -70, -71, -72]]
